symbol,price,price_change,price_percent_change
HSAI,22.3,2.5,12.63
MHVIY,39.27,4.25,12.14
TXHPF,20.03,2.03,11.31
CELH,29.93,2.85,10.52
CALM,91.7,8.67,10.44
QBTS,11.18,1.03,10.15
ASND,168.84,15.86,10.37
ENPH,63.8,5.67,9.75
DLO,9.42,0.8,9.28
QFIN,47.13,3.94,9.12
BIDU,102.27,8.45,9.01
AEO,12.03,0.97,8.77
RNA,33.83,2.72,8.74
UEC,5.44,0.36,7.09
TNXP,16.28,1.28,8.53
SGBAF,6.5,0.51,8.51
VRNA,66.56,5.17,8.42
TCOM,66.67,4.94,8.0
LION,8.19,0.6,7.91
NFE,9.99,0.73,7.88
RXRX,6.84,0.49,7.72
TAL,14.32,1.02,7.67
YOU,26.37,1.85,7.54
CVI,20.68,1.45,7.54
PBF,22.3,1.56,7.52
