symbol,price,price_change,price_percent_change
VIAV,12.04 +2.05 (+20.52%),2.05,+20.52%
TEAM,306.78 +39.83 (+14.92%),39.83,+14.92%
ASTS,20.24 +2.03 (+11.15%),2.03,+11.15%
BEN,22.24 +2.09 (+10.37%),2.09,+10.37%
HIMS,37.28 +3.32 (+9.78%),3.32,+9.78%
CRDO,70.02 +5.42 (+8.39%),5.42,+8.39%
RBC,348.75 +26.73 (+8.30%),26.73,+8.30%
CLS,123.47 +9.32 (+8.16%),9.32,+8.16%
EMN,99.65 +6.98 (+7.53%),6.98,+7.53%
TFSL,13.72 +0.93 (+7.27%),0.93,+7.27%
RGTI,13.17 +0.87 (+7.07%),0.87,+7.07%
FLG,11.83 +0.77 (+6.96%),0.77,+6.96%
CVCO,508.64 +31.82 (+6.67%),31.82,+6.67%
LSRCY,20.74 +1.19 (+6.09%),1.19,+6.09%
TBBK,61.06 +3.42 (+5.93%),3.42,+5.93%
BEP,21.89 +1.19 (+5.75%),1.19,+5.75%
MNDY,255.46 +13.60 (+5.62%),13.6,+5.62%
VRTX,461.68 +23.28 (+5.31%),23.28,+5.31%
SGIOY,7.73 +0.38 (+5.17%),0.38,+5.17%
GTLB,72.76 +3.38 (+4.87%),3.38,+4.87%
AMTM,20.97 +0.96 (+4.80%),0.96,+4.80%
AVAV,180.15 +8.17 (+4.75%),8.17,+4.75%
ALAB,101.42 +4.55 (+4.70%),4.55,+4.70%
ABBV,183.90 +8.25 (+4.70%),8.25,+4.70%
BEPC,26.69 +1.18 (+4.63%),1.18,+4.63%
ATGE,107.13 +4.71 (+4.60%),4.71,+4.60%
KEYS,178.35 +7.83 (+4.59%),7.83,+4.59%
PACS,14.53 +0.61 (+4.38%),0.61,+4.38%
GLW,52.08 +2.09 (+4.18%),2.09,+4.18%
ARM,159.55 +6.32 (+4.12%),6.32,+4.12%
JBLU,6.58 +0.26 (+4.11%),0.26,+4.11%
IMPUY,5.58 +0.22 (+4.10%),0.22,+4.10%
FRME,44.44 +1.73 (+4.05%),1.73,+4.05%
CI,294.21 +11.23 (+3.97%),11.23,+3.97%
CAMT,94.54 +3.59 (+3.95%),3.59,+3.95%
VEON,45.05 +1.70 (+3.92%),1.7,+3.92%
TARS,53.76 +2.02 (+3.90%),2.02,+3.90%
SIRI,24.01 +0.90 (+3.89%),0.9,+3.89%
HTHIY,51.45 +1.89 (+3.81%),1.89,+3.81%
POWI,62.32 +2.27 (+3.78%),2.27,+3.78%
EA,122.91 +4.23 (+3.56%),4.23,+3.56%
SKYW,120.92 +4.16 (+3.56%),4.16,+3.56%
BKR,46.18 +1.58 (+3.54%),1.58,+3.54%
MESO,20.14 +0.62 (+3.18%),0.62,+3.18%
FHB,27.62 +0.83 (+3.10%),0.83,+3.10%
GLOB,213.32 +6.29 (+3.04%),6.29,+3.04%
